_c0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,hour,day_of_week,daily_spending,daily_transactions,distance,category_index,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12
253900,2020-09-22T02:02:46.000Z,60487002085,fraud_Cole PLC,grocery_pos,292.54,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15T00:00:00.000Z,71947f267041e351822e89a4d10c9ee4,1379815366,33.160571000000004,-89.314908,1,2,3,292.54,1,115.97302567113375,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256612,2020-09-22T23:10:08.000Z,60487002085,fraud_Schmidt and Sons,shopping_net,1062.66,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15T00:00:00.000Z,bf12012b33adb9dd3f6ae3607c06f3b7,1379891408,31.426240999999997,-90.28185500000001,1,23,3,1062.66,1,106.35437706366277,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256888,2020-09-23T02:56:25.000Z,60487002085,fraud_McGlynn-Heathcote,misc_net,740.62,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15T00:00:00.000Z,cb6f813488269ee242718106acaca019,1379904985,31.974365000000002,-89.920354,1,2,4,740.62,1,48.58429552242237,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
257242,2020-09-23T10:12:36.000Z,60487002085,fraud_Parisian and Sons,gas_transport,11.19,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15T00:00:00.000Z,23a6369b67f28768c1839f090a2a2d4b,1379931156,33.163278999999996,-89.454488,1,10,4,11.19,1,108.0982573358939,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258083,2020-09-23T22:03:34.000Z,60487002085,fraud_Volkman-Predovic,shopping_net,1057.35,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15T00:00:00.000Z,8fb4a94b1016de03a7e9d475f0070673,1379973814,32.205139,-90.731305,1,22,4,1057.35,1,59.61845040066435,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266160,2020-09-27T22:00:17.000Z,60495593109,fraud_Bogisich-Homenick,misc_net,906.85,Randall,Dillon,M,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,1942-11-24T00:00:00.000Z,71f3dbed522945c07b7bf13e9b176b4f,1380319217,33.004383000000004,-96.48271899999999,1,22,1,906.85,1,35.643903126181364,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
269376,2020-09-28T22:23:27.000Z,60495593109,fraud_Kerluke-Abshire,shopping_net,997.39,Randall,Dillon,M,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,1942-11-24T00:00:00.000Z,a1ec1fa44f862ae6e4a0cb7e3ca8864d,1380407007,31.966031,-97.02949,1,22,2,997.39,1,93.34787459408535,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58582,2020-07-11T22:12:40.000Z,501882822387,fraud_Doyle Ltd,grocery_pos,278.9,Melissa,Phillips,F,5069 Scott Pass Apt. 654,Meadville,MS,39653,31.4285,-90.8578,2799,"Therapist, horticultural",1961-01-21T00:00:00.000Z,fd6e027d5d89e6f653cb354da51957da,1373580760,32.107481,-90.853196,1,22,7,278.9,1,75.50049702171954,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60228,2020-07-12T12:28:46.000Z,501882822387,"fraud_Gottlieb, Considine and Schultz",shopping_net,959.71,Melissa,Phillips,F,5069 Scott Pass Apt. 654,Meadville,MS,39653,31.4285,-90.8578,2799,"Therapist, horticultural",1961-01-21T00:00:00.000Z,df86ac7e629a9c2d1f5023a71314ae10,1373632126,30.600768,-91.329178,1,12,1,959.71,1,102.41651769798447,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51879,2020-07-09T00:02:54.000Z,503851367360,fraud_Cummerata-Jones,gas_transport,10.77,Bruce,Hall,M,77686 Donald Bridge Apt. 711,Grifton,NC,28530,35.3757,-77.4193,7332,Forensic psychologist,1957-06-27T00:00:00.000Z,d056a475f3363e59950376619460edfa,1373328174,35.922623,-77.33431,1,0,5,10.77,1,61.2979990592969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54045,2020-07-09T23:59:54.000Z,503851367360,fraud_Cartwright-Harris,grocery_pos,279.28,Bruce,Hall,M,77686 Donald Bridge Apt. 711,Grifton,NC,28530,35.3757,-77.4193,7332,Forensic psychologist,1957-06-27T00:00:00.000Z,11d72c064c0d1690d1d8c692e30a1172,1373414394,36.209484,-77.49513,1,23,5,279.28,1,92.96447225269253,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221629,2020-09-08T01:01:54.000Z,570273151375,fraud_Lockman Ltd,grocery_pos,363.98,Peter,Edwards,M,96122 Steven Flat,Allentown,GA,31003,32.6064,-83.2095,112,"Lecturer, higher education",1965-02-03T00:00:00.000Z,27b9c817943e31876759e6efc50a466d,1378602114,32.637526,-83.836685,1,1,3,363.98,1,58.83983967147557,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221850,2020-09-08T03:12:18.000Z,570273151375,"fraud_Adams, Kovacek and Kuhlman",grocery_net,15.83,Peter,Edwards,M,96122 Steven Flat,Allentown,GA,31003,32.6064,-83.2095,112,"Lecturer, higher education",1965-02-03T00:00:00.000Z,2d310251a05c0eb8b563a447e3a09170,1378609938,32.636952,-83.23804200000001,1,3,3,15.83,1,4.322780769094189,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
224153,2020-09-08T21:15:47.000Z,570273151375,fraud_Klein Group,entertainment,577.16,Peter,Edwards,M,96122 Steven Flat,Allentown,GA,31003,32.6064,-83.2095,112,"Lecturer, higher education",1965-02-03T00:00:00.000Z,3bdc7dfeed43b212020ad44c4e53b421,1378674947,33.166284000000005,-82.850316,1,21,3,577.16,1,70.71557828290172,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
224257,2020-09-08T22:04:04.000Z,570273151375,fraud_Medhurst PLC,shopping_net,936.85,Peter,Edwards,M,96122 Steven Flat,Allentown,GA,31003,32.6064,-83.2095,112,"Lecturer, higher education",1965-02-03T00:00:00.000Z,5b1ef3942b93c8811d97e084bd19e1c9,1378677844,32.152823,-82.68418299999999,1,22,3,936.85,1,70.54928904349332,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224536,2020-09-08T23:46:04.000Z,570273151375,fraud_Schmidt and Sons,shopping_net,1092.32,Peter,Edwards,M,96122 Steven Flat,Allentown,GA,31003,32.6064,-83.2095,112,"Lecturer, higher education",1965-02-03T00:00:00.000Z,370faf738e60f7cf445bf7ce2e18c622,1378683964,32.768611,-82.773752,1,23,3,1092.32,1,44.59024079965941,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22427,2020-06-29T02:44:41.000Z,571844099986,fraud_Kunze Inc,grocery_pos,291.15,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02T00:00:00.000Z,d1fee4e236e02808b987557689681670,1372473881,37.790394,-85.506713,1,2,2,291.15,1,55.362687841259394,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26055,2020-06-29T23:28:28.000Z,571844099986,fraud_Sawayn PLC,shopping_pos,888.56,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02T00:00:00.000Z,e3745021f85a57c9d1a71bab8b24a60e,1372548508,38.033283000000004,-85.15483499999999,1,23,2,888.56,1,57.19901030114204,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29896,2020-06-30T23:16:40.000Z,571844099986,"fraud_Haley, Jewess and Bechtelar",shopping_pos,917.97,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02T00:00:00.000Z,6736d580fbae1911b7f3117b1daedbc7,1372634200,37.6226,-85.91279300000001,1,23,3,917.97,1,71.32819803283265,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30019,2020-06-30T23:48:35.000Z,571844099986,"fraud_Huel, Hammes and Witting",grocery_pos,284.94,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02T00:00:00.000Z,c319a3249bd476147cf1bbe36686a0ec,1372636115,39.075545,-85.607381,1,23,3,284.94,1,92.52301242638084,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333419,2020-10-26T23:32:30.000Z,573283817795,"fraud_Mosciski, Ziemann and Farrell",shopping_net,988.01,Amy,Flynn,F,46095 Tara Fords,Jaffrey,NH,3452,42.8178,-72.0275,5457,"Surveyor, hydrographic",1950-04-17T00:00:00.000Z,75a08f669800ac16bdc32c9b0706bf82,1382830350,42.305776,-72.83364,1,23,2,988.01,1,87.18064196400444,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
